gate,test_id,requirement,status,evidence_or_next
G0,V01,stage isolation and identity,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V02,formula units metrics and rounding,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V03,replay plugin lifecycle fixed_advanced and visits,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V04,evaluation and single-pass timing,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V05,phase resources and failures,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V06,prefetch equivalence and lifecycle,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V07,calibration freeze and pairing integrity,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G1,V08,process state failure and restart,partial_verified_on_thor,reports/effectiveness_v3/readiness/tests.txt; real GPU diagnostic; remaining integration obligations in SDD section 10
G2,V09,real complete development and S01-S08 coverage,pending,Thor complete development pending; first-wave configs emitted; no portable Q/L/S*
G2,V10,host enforcement and replay accounting,host_unavailable_replay_pending,thor_r1/probe_manifest.json: no delegated cgroup root; replay accounting still required
G3,V11,immutable freeze and matrix emission,pending,freeze only after new-host G2
G4,V12,formal results and claims,pending,no 5090 formal matrix retained
