id,module_or_parameter,paper_source,classification,adopted_behavior,rationale,verification,status
V3-A01,URGE,PDF p7 Eq1,paper_explicit,four sigmoid product; P/S ratio L seconds GPU M MiB; no metric normalization,follow signs; units are reconstruction choices recorded separately,V02 factor and real trace checks,formula implemented; new stage pending
V3-A02,single pass and t,PDF p8 Eq3-5; p9 Algorithm1 lines4/17,ambiguous,one train per experience; compute at k end for k+1; strict >; last suggestion not applied,A03 interpretation of duplicate training/equality ambiguity,V04 training counts and boundary tests,inherited assumption
V3-A03,model data optimizer,PDF Table2 and sec5.1; historical protocol,source_inferred,ResNet20 FP32 SGD lr.01 momentum.9 NC9 and CIFAR100-10 fixed splits,retain comparable reconstruction; missing author hyperparameters not defaults,V09 full real streams and lr sensitivity,adopted pending stage
V3-A04,threshold scales initial resources,PDF p7-8 Eq2-4; example alpha/beta,source_inferred,Thr0 .05 alpha .1 beta .2 delta0; b16 r200; P/S goals .5,inherited reference not confirmed experimental values,PLAN5.2 and groupG,pending sensitivity
V3-A05,L and M adaptation,PDF Eq1 sec4.2,platform_adaptation,L_cal from two dev S0 medians; M threshold equals independently calibrated quota,separate O00/O10/O01/O11 factors,V09 four-way real trajectory and budget evidence,pending calibration
V3-A06,MB MR representation,PDF p8 Eq3-4,ambiguous,main count-space m_batch=m_frame=1; physical ownership and RSS measured separately,no claim of calibrated byte allocation; shared references not owned tensors,V03 V05 V10,known limitation
V3-A07,optional plugins,PDF sec3 Table1 sec4.3 Eq5,source_inferred,ER GEM+EWC; AGEM EWC-only; disabled keeps state,A10 avoids dual projection; no hidden history rebuild,V03 lifecycle hooks bytes auxiliary visits QP fallback,partly implemented; audit pending
V3-A08,F11 always advanced,PDF Eq5; sec5.4 ablation,platform_adaptation,same O11 batch/replay control but optional plugins always enabled from k0,isolate benefit of adaptive switching vs permanent extra computation,V03 fixed_advanced schema runtime tests,not implemented
V3-A09,resource transitions,PDF sec4.1-4.3 workload/resource dynamics,platform_adaptation,same-process CUDA reservation low/high/low NC9; future hidden,controlled availability reconstruction not author trace,V05 V09 transition and post-feedback windows,new values pending
V3-A10,decay,PDF p7 Eq2,source_inferred,delta ln2/(N-1) vs zero on identical DYN schedule,predefined half-life not author value,S05 C group three seeds,pending
V3-A11,preferences,PDF p9 sec4.4,source_inferred,PLAN6 lists complete latency/P-S/memory rank order; rank4/3/2/1 normalized; balanced .25,more explicit than historical A21 labels; do not mix,S06 weights and real behavior,pending
V3-A12,prefetch,PDF p9 sec4.5 Algorithm1 line18,source_inferred,bounded current stream+replay; main-thread planned indices; serial/queued timing separate,no future training; real supply bottleneck not sleep,V06 S07 static equivalence and E factorial,timing bugs fixed; full new validation pending
V3-A13,metrics feedback,PDF sec2.1; A05; metric_definitions.md,ambiguous,P_diag and S_initial no clipping; formal official_test_seen; calibration development_val_seen,operational definitions with disclosed test feedback,V02 V04 V07; save accuracy matrix,feedback gate hardened
V3-A14,host device boundaries,PDF sec4.3 joint memory; AGENTS5,platform_adaptation,allocator quota main; independent verified cgroup host conditional; no shared-pool claim,discrete device memory differs from Jetson,V05 V10 and conditional H,host pending
V3-A15,provenance execution reporting,PDF sec5 claims; AGENTS8-9,platform_adaptation,new identity and immutable protocol; exact matrix pairing; all attempts/failures,avoid old stage contamination and survivor bias,V01 V07 V08 V11 V12,not implemented
