decision_id,topic,paper_ref,evidence_url_or_commit,evidence_excerpt,classification,adopted_value,rationale,affected_experiments,sensitivity_test,status,decision_version
A01,avalanche_and_torch_versions,paper unspecified; PLAN 4.1,avalanche-lib==0.6.0; torch==2.14.0+cu130,paper names Avalanche-lib but no version,source_inferred,WSL2+RTX5060Ti only: python3.11 + torch2.14.0/cu130 + torchvision0.29.0 + avalanche-lib0.6.0 no extras + wandb disabled + GSS mem_strength int patch; current Linux+RTX5090 host is A24,sm_120 requires CUDA>=12.8; avalanche 0.6.0 imports wandb; GSS float mem_strength breaks torch.zeros; docs/decisions/A01.md,light24 pressure_v2,T01 plus ER/GEM/AGEM/GSS smoke,verified,2
A02,resnet20_variant,sec5.1 ResNet-20 [38],He et al. arXiv:1512.03385; akamaster pytorch_resnet_cifar10,CIFAR ResNet-20 n=3 16-32-64 option A identity shortcuts,source_inferred,cifar_resnet20 option A random Kaiming init no pretrained ~0.27M,paper forbids substituting ResNet-18; Avalanche stock resnet32 is n=5 and option B-like,all,T03 param-count and shape audit,adopted,1
A03,algorithm1_single_pass,Alg1 L4 and L17 vs sec1 single pass,PLAN 6.2,PDF launches training twice per experience,source_inferred,train each experience once then eval then update next-experience config,do not extra-train new stream; equality uses Alg1 > so equal leaves budget unchanged and optional plugin default,E02 E03 E05 E08,T05 call-trace,adopted,1
A04,urge_metric_units,Eq1; paper only normalizes weights,PLAN 6.1,no metric normalization stated,platform_adaptation,P/S as ratio; L seconds; M MiB converted from bytes logs; float64 sigmoid; no extra metric normalization in main protocol,normalized_variant is a named ablation only,E02 E08,E08 unit/normalization scan,adopted,1
A05,plasticity_stability_index,sec2.1 P=mean acc_i; F_i undefined except Avalanche forgetting footnote,PLAN 5.1,acc_i time index under-specified,source_inferred,"P_diag=mean_i A[i,i]; F_initial=A[i,i]-A[k,i]; S_initial=1-mean F; also emit avg_seen and max-forgetting aliases",save full correct/total matrix; do not clip S>1,all,T09 hand example,adopted,1
A06,controller_feedback_source,sec2.1 test accuracy; footnote Avalanche forgetting,PLAN 4.3 5.2; docs/decisions/A06.md,controller likely sees test of seen experiences,source_inferred,development uses development_val_seen: CIFAR stratified split seed 17; CORe50 s*/o* sequence split seed 17; paper_feedback uses official_test_seen only after freeze; unknown sources rejected,Calibration uses development validation only; prior official-test exposure remains a limitation,E02 E03 E08,data-access audit,adopted,3
A07,optimizer_lr_transforms,unspecified,avalanche v0.6.0 SplitCIFAR10 defaults and SGD examples,paper gives no lr/optimizer/aug,source_inferred,SGD lr=0.01 momentum=0.9 weight_decay=0 no scheduler; CIFAR train is per-sample seeded pad-crop-flip+normalize (aug_seed+sample_id) not global torchvision RNG; eval ToTensor+Normalize; train_epochs=1,needed so prefetch on/off can match,E00 E01 E02,E08 lr sensitivity,adopted,2
A08,batch_meaning,Eq3 B_t=floor(MB/M_batch); Oracle batch grid,avalanche ReplayPlugin batch_size vs batch_size_mem,unclear if grid is new-only or merged,source_inferred,new_batch is SGD new-stream samples; replay_batch defaults equal to new_batch (ratio 1) matching ReplayPlugin None->train_mb_size; Oracle grid maps to new_batch,Explicit reconstruction assumption; see PLAN and adopted behavior,E01 Oracle E03,T05 first/last/empty replay,adopted,1
A09,replay_storage,Eq4 R_t=floor(MR/M_df); MAX-A default Avalanche replay,ReplayPlugin mem_size=200 ExperienceBalancedBuffer,paper gives no mem_size,source_inferred,ExperienceBalancedBuffer adaptive_size; mem_size starter 200; apply_runtime_config must call storage_policy.resize so occupancy drops; expand does not restore discarded samples,Explicit reconstruction assumption; see PLAN and adopted behavior,E01 E06,T05 resize/eviction occupancy not just max_size,adopted,2
A10,optional_plugins_on_er_and_other_algs,Table1 GEM and EWC on ER; other algs unspecified,docs/decisions/A10.md,advanced = GEM+EWC on ER; GEM/AGEM/GSS refuse extra GEM,source_inferred,ER: Naive+Replay+Toggle(GEM)+Toggle(EWC); GEM/AGEM/GSS: Adaptive* plugins; Orion maps MR to ppe=floor(capacity/n_exp) or GSS mem_size; optional on GEM/AGEM/GSS is ewc-only,Explicit reconstruction; duplicate GEM and AGEM+GEM/GSS+GEM refused rather than silently dropped,E01 E03 E04,T06 plugin on/off; GEM/AGEM constraint and GSS selection tests,adopted,3
A11,baseline_reconstruction,sec5.1 MAX-A/MAX-P/LR/Oracle text only,docs/decisions/A11.md; docs/baselines/,no numeric MAX-A/MAX-P,source_inferred,suffix _reconstructed; MAX-A batch=1 replay=200 GEM+EWC ewc_lambda=100 patterns=50; MAX-P batch=256 replay=10; LR layer2 freeze-after-exp0 mem=200; Oracle 42-cell generator,Explicit reconstruction assumption; see PLAN and adopted behavior,E03 E04,baseline cards; 10-exp development runs,adopted,2
A12,host_vs_device_budget,Jetson unified memory vs this platform,AGENTS.md platform table,RTX 5060 Ti discrete 16GiB; WSL RAM cap 6GiB,platform_adaptation,report host RSS/PSS and GPU allocator separately; main URGE M uses one declared resource; dual_resource_variant is not the paper formula,Explicit reconstruction assumption; see PLAN and adopted behavior,E06,T08 budget mechanism,adopted,1
A13,linear_memory_cost_model,Eq3-5 M_batch M_df hardware-invariant,docs/decisions/A13.md; data/processed/memory_cost_model.json,no numeric M_batch/M_df,source_inferred,device slope vs effective_batch from real train-step peaks; host uint8 RSS pairing with MAE; plugin_gem_ewc_bytes still allocation copies; complete=true only as error-evidence flag,Device held-out MAPE~0.40%; host RSS MAE~1MiB vs 3072B/frame; not cgroup or Jetson,E01 E06,predicted vs measured held-out pairs,verified,5
A14,shared_test_PS,CORe50 NI/NIC may share a test set,"docs/decisions/A14.md; data/manifests/core50_{nc,ni,nic}_run0.json",Avalanche CORe50 test_stream length is 1; 119894+44972=164866,source_inferred,"NC: shared_sliced_by_train_classes; NI/NIC: shared_test_temporal A[k,i]=a_k and report a_k; NIC uses nicv2_79 reconstruction; Table2 164866 is train+test",Explicit reconstruction assumption; see PLAN and adopted behavior,E03 E04 E10,compare sliced NC vs temporal bookkeeping; do not mix with per-experience CIFAR P/S,adopted,2
A15,oracle_selection_rule,sec5.1 brute force 42 for P and S,docs/decisions/A15.md,no scalar objective,source_inferred,"Pareto of (P,S,learning_s) on development val seed 0 split 17; max 0.5P+0.5S then shorter learning_s then smaller device peak then cell_id; search not on paper_feedback test",Explicit reconstruction; see docs/decisions/A15.md,E03 Oracle,report P-best S-best and Pareto,adopted,2
A16,energy,sec5.5 Table6 Joules,none,no Jetson-class power meter required here,platform_adaptation,runtime and memory overhead required; platform energy marked unavailable unless a verified meter exists,Explicit reconstruction assumption; see PLAN and adopted behavior,E09,do not claim Jetson energy,adopted,1
A17,class_order_cifar,table2 10 experiences,avalanche SplitCIFAR10 shuffle+seed,paper does not list class order,source_inferred,n_experiences=10; shuffle true; stream seed recorded; persist actual class order in manifest; single 10-way head no task-oracle masking,Explicit reconstruction assumption; see PLAN and adopted behavior,E00 E02 E03,T02 experience stats,adopted,1
A18,tf32_amp_compile,unspecified,PLAN 4.1,starting research implementation FP32 eager,platform_adaptation,FP32 eager; TF32 off; cudnn.benchmark false; no AMP/torch.compile in main protocol,Explicit reconstruction assumption; see PLAN and adopted behavior,all,performance variants must be fair and named,adopted,1
A19,dataloader_workers,unspecified,WSL RAM 6GiB,need bounded host RAM,platform_adaptation,num_workers=0 queue_depth starter 1; pin_memory false until T07,Explicit reconstruction assumption; see PLAN and adopted behavior,E00 E07,dev throughput vs RSS,adopted,1
A20,starter_batch_replay,unspecified; avalanche default batch=1,PLAN 4.4,batch 16 replay 200 debug starter,source_inferred,development ER starter new_batch=16 mem_size=200; MAX-A reconstructed still uses library default batch=1,Explicit reconstruction assumption; see PLAN and adopted behavior,E00 E02,E08 initial batch/replay,adopted,1
A21,user_preference_weights,sec4.4 rank 4/3/2/1; sec5.2.3 equal importance,docs/decisions/A21.md,no full experimental order for three Table 3 rows,source_inferred,balanced=0.25; latency-first memory>latency>P>S; P/S-first is the paper example memory>P>S>latency; preference_order overrides coefficients,Explicit reconstruction assumption; see PLAN and adopted behavior,E05,report even if direction disagrees with prose,adopted,1
A22,endless_grouped_holdout,PLAN 4.3,docs/decisions/A22.md,Classification patches have numeric IDs; source-frame times unconfirmed,platform_adaptation,class_ordered_holdout_embargo_v2; val_fraction=0.2; seed=17; embargo=32 patches per boundary,Grouped holdout with explicit excluded samples; numeric ordering is only a proxy,E10,Group isolation and embargo sensitivity; confirm source-frame mapping,adopted,1
A23,gss_max_p_batch_gt_mem,Avalanche GSS occupied//batch==0,docs/decisions/A23.md,max() empty mem_grads when batch=256 replay=10,source_inferred,score/replace min(batch occupancy) when buffer full and occupancy<batch,E04 GSS MAX-P would crash otherwise,E04,unit test batch>mem,adopted,1
A24,host_linux_rtx5090_env,AGENTS.md 4.1; driver CUDA 12.8,docs/decisions/A24.md; reports/envcheck.json,driver 570.133.20 cannot run CUDA 13 runtime,platform_adaptation,python3.11 + torch2.11.0/cu128 + torchvision0.26.0 + avalanche-lib0.6.0 --no-deps + wandb disabled; env ~/.conda/envs/orion via /opt/miniconda3,keep A01 WSL cu130 lock archived; do not mix identities,new stages,T01 envcheck + pytest,verified,1
A25,effectiveness_v3_design,PDF sec4.1-4.5 Eq1-5 Algorithm1,docs/decisions/A25.md,user requires scenario coverage and detailed SDD,platform_adaptation,new stage S01-S08; design153 slots; independent calibration and identity,keep original formula and separate realization from effectiveness,effectiveness_v3,V01-V12; fixed sensitivity variants,designed_not_frozen,1
A26,effectiveness_v3_drop_5090_runs,PLAN 5; A25 design,docs/decisions/A26.md,user moving hosts; 5090 G2-G4 not transferable,platform_adaptation,keep plan/SDD/code; drop 5090 calibration freeze and formal runs,budget and L_cal are host-bound,effectiveness_v3,recalibrate on next host,abandoned_on_5090,1
A27,host_jetson_agx_thor_env,AGENTS.md 4.1; JetPack 7.2 CUDA 13.2,docs/decisions/A27.md; reports/envcheck.json,Thor sm_110 unified memory; nvidia-smi VRAM N/A,platform_adaptation,python3.11 + torch2.14.0/cu132 aarch64 + torchvision0.29.0 + avalanche-lib0.6.0 --no-deps + wandb 0.30 with deps; env ~/miniconda3/envs/orion,keep A24 5090 and A01 WSL locks archived; envcheck requires device sm tag not sm_120,effectiveness_v3,T01 envcheck + pytest,verified,1
A28,thor_v3_readiness,PDF sec4.2-4.5 Eq1-5 Algorithm1,docs/decisions/A28.md,new host and scientific contrast audit,platform_adaptation,preserve original formula; correct calibration and DYN contrasts; separate G2 from formal admission,do not infer effectiveness from implementation tests,effectiveness_v3,tests/test_v3_migration.py; reports/effectiveness_v3/readiness,development_entry_only,1
